id	wolof	arabic	french_source	source_dataset	source_type
wo-ar-0903	Du def lu dul xool yaatuwaayu bérébu dalukaayi daamaari nguur gi, ndax mu xam, ñenn ci kilifaay réew mi jox nañu leen ñaar, ñett ba sax lu ëpp yooyu ciy daamar yu bakkane ci tolluwaay, niki 4X4.	ما عليه إلا أن ينظر إلى حجم أسطول سيارات الدولة ليدرك أن بعض سلطات الدولة قد مُنحت سيارتين أو ثلاث أو حتى أكثر من السيارات الفاخرة بحجم 4X4.	Il n’est qu’à voir le volume du parc automobile de l’État pour s’en rendre compte, certaines autorités sont dotées de deux, trois voire plus de véhicules allant des berlines de luxes aux grosses cylindrées 4X4.	mafand	Senegalese News (MAFAND)
wo-ar-0399	Waaye dañoo làbbali at mi ci topp jël Ligg dee Nasiyoŋ ci kanam futbalkati Pays-Bas yi.	لكنهم انتعشوا في العام التالي بالفوز بدوري الأمم ضد اللاعبين الهولنديين.	Mais ils ont très vite rebondi l’année suivante en remportant la première Ligue des nations face à une belle équipe des Pays-Bas.	mafand	Senegalese News (MAFAND)
wo-ar-1052	Ci ay mbindam yi daw yaramu ñu bare, dafa koy ñaan mu sargal Sëybatu Juuf,	من خلال كتاباتها التي أثرت في الكثيرين، تطلب منه أن يشيد بِسَيْبَت ديوف،	À travers ses écrits qui ont ému plus d'un, elle lui demande de rendre hommage à Seynabou Diouf, femme policière de l'année 2019 pour toutes les missions onusiennes.	mafand	Senegalese News (MAFAND)
wo-ar-0245	Askan wi lañuy xeexal ba keroog Yàlla di teg réew mi ci sunuy loxo.	وسنقاتل من أجل الشعب حتى تكون الرئاسة لنا.	Askan wee nu tax a jóg, moom lanuy xeexal ba keroog Yàlla di teg réew mi ci sunuy loxo, nu daldi koy defar bu soobee Boroom Bi.	mafand	Senegalese News (MAFAND)
wo-ar-0961	Ñu dugal leen ca fukk ak benneelu simili ba,	وسُجلوا هدفا في الدقيقة الحادية عشرة،	Mené depuis la 11e mn, c’est à la 90+2 mn que le phénomène Diatta ramène son équipe à la hauteur de l’adversaire du soir.	mafand	Senegalese News (MAFAND)
wo-ar-0801	Ngir loolu, fokk ñu tabax ay kaso yu yees yu méngook ni ko àdduna yépp di defe.	وللقيام بذلك، لا بد أن نبني سجونا جديدة تفي بالمعايير الدولية.	Pour cela, il faut construire de nouvelles prisons qui respectent les standards internationaux.	mafand	Senegalese News (MAFAND)
wo-ar-1247	loolu rekk moo ñuy mën a musal ci deret ju tuuru.	هذا هو الحل الوحيد الذي سينقذنا من إراقة الدماء.	Avec vos cartes d'électeurs dégagez-le c'est la seule solution pour éviter les bains de sang.	mafand	Senegalese News (MAFAND)
wo-ar-0067	Ngir yokk cere dolli ñeex jëm ci moomeelu kenn, këru liggéeyukaay gi Akilee, joxekatu kurãŋu nosal bi ci Senelec, la mbëru Farãas mi ci kurãŋ EDF sàkku mu bokk ci kopparam.	لتضيف المزيد من الإثارة على هذا المزيج السحري نحو التخصيص، طلبت شركة الكهرباء الفرنسية العملاقة EDF من شركة Akilee الناشئة، وهي موردة عدادات الذكية للكهرباء التابعة لSenelec، أن تنضم إلى حصتها.	Pour corser ce brouet de sorcière vers la privatisation, la start-up sénégalaise Akilee, le fournisseur de compteurs électriques intelligents à Senelec, est convoitée par le Géant français de l’électricité EDF qui veut rentrer dans son capital.	mafand	Senegalese News (MAFAND)
wo-ar-0003	Manchester City waroon naa denc benn poñ ngir bokk ci ñi raw.	احتاج مانشستر سيتي نقطة 1 ليكون من المتأهلين.	Manchester City devait juste engranger 1 point pour se qualifier.	mafand	Senegalese News (MAFAND)
wo-ar-0242	Fi Maki Sàll wonee mën-mënam mooy fexe ba néewal kàttan pàrti yi nga xam ne ñoom ñoo fi jëkk ci wàllu pólótig fii ci Senegaal, bokk na ci PS, AFP, ak PDS.	تكمن قدرات ماكي سال في نجاحه في إضعاف الأحزاب السياسية الأولى تاريخيا في السنغال، ومن بينها: PS، وAFP، وPDS.	Macky Sall, c’est d’avoir réussi à fragiliser profondément les partis politiques mythiques, le PS, l’AFP et le PDS qui ont longtemps occupé la scène politique sénégalaise.	mafand	Senegalese News (MAFAND)
wo-ar-0952	Ak Pastef, mbind yi ci lim yu baaxul yi ñu duufal, jëme ko ci doxalinu nguur gi, dinañu leen ci seppi,	ستتم إزالة الكتابات المتضخمة غير الصالحة في إدارة الدولة مع باستيف،	Avec le pastef les ecritures en chiffres faux gonflées dans la gestion de l'etat vont etre éradiquer meme pas honte tristesse et désolation .	mafand	Senegalese News (MAFAND)
wo-ar-0717	Coppite yiy xew ci diwaanu Afirig yépp yu mel noonu la, waaye dina jaadu ñépp àndandoo ci ay leeral yoo xam ne seen jubluwaay mooy jàngale ak fësal yenn mbir yoo xam ne naqari naa xam.	إن الإصلاحات الجارية في أفريقيا كلها متشابهة، ولكن من الجدارة أن يقرنها الجميع بحملات توعية تهدف إلى التثقيف وإظهار بعض الأشياء التي يصعب معرفتها.	Les différentes réformes règlementaires ayant court sur le continent vont dans ce sens, mais il sera nécessaire de les coupler à de vastes campagnes – menées idéalement de manière conjointe entre assureurs et superviseurs – de sensibilisation visant à éduquer et vulgariser des concepts parfois assez abstraits.,	mafand	Senegalese News (MAFAND)
wo-ar-0967	Fi mu nekk nii, Sónkoo ngi gën di siiw, ba ca Asie.	في الوقت الحالي، أصبح سونكو أكثر شهرة حتى في آسيا.	Actuellement, SONKO fait parler de lui jusqu’en Asie.	mafand	Senegalese News (MAFAND)
wo-ar-1067	Beneen yoon, waxuñu fi xaalis bu takku lool bu dem ci kurãa bi ginnaaw sax waxtuy liggéey yi wala esãas bi.	لم نتحدث مرة أخرى عن المبلغ الهائل من الأموال التي تنفق على الكهرباء خارج ساعات العمل أو الوقود.	Et encore, on ne parle pas ici des énormes budgets engloutis par les consommations d’électricité au-delà même des heures de travail ni de carburant.	mafand	Senegalese News (MAFAND)
wo-ar-0286	Yooyu yépp, dafay tax ma xalaat ne Sónko mooy tànneef bu baax li.	كل هذا يجعلني أعتقد أن سونكو هو الخيار الصحيح.	Tout cela me fait penser que Sonko est le BON CHOIX.	mafand	Senegalese News (MAFAND)
wo-ar-0729	Xam ngeen ne waxtu wi jotagul ngir njënd moomu.	تعلمون أن الوقت لم يحن بعد لعملية الشراء تلك.	Vous savez que le moment n est pas opportun pour cet achat.	mafand	Senegalese News (MAFAND)
wo-ar-0652	Watara kanam gu ñàng la génne Elise.	خرج واتارا من الإليزيه بوجه متجهم.	Pas de dessert pour Ouattara, c’est la mine renfrognée qu’il a claqué la porte de l’Élysée.	mafand	Senegalese News (MAFAND)
wo-ar-0604	Ñaari xale yu ndaw, kenn ki am fukki at ak benn, keneen ki fukki at ak ñaar, ñoo réer daanaka lu tollu ci fukki fan ak juróom.	فُقد طفلان صغيران أحدهما بلغ من العمر أحد عشر عاما والآخر اثني عشرَ عاما منذ ما يقرب من خمسة عشر يوما.	Deux frères mineurs, âgés respectivement de 11 et 12 ans, sont portés disparus depuis bientôt 15 jours.	mafand	Senegalese News (MAFAND)
wo-ar-0373	Bu ñu gisee Cebio Soukou duut Kalidu Kulibali mi nga xam ne dafa dëgër këcc, wala Saajo Maane mi ngi xam ne Olivier Verdon dafa ko tëj lu yàgg, ki leen di tàggat, Aliw Siise xelam demoon na ci joŋante bi doon dox ci diggante Maroc ak Bénin te waa Bénin mujje yóbbu ndam li.	عند رؤية سيبيو سوكو يراوغ كاليدو كوليبالي القوي للغاية، أو يوقف أوليفيه فيردون ساديو ماني لمدة طويلة فإن مدربهم علِي سيسه قد فكر في مباراة المغرب وبنين والتي فاز بها بنين.	A voir Kalidou Koulibaly, si solide, prendre un grand pont de Cebio Soukou, ou la star Sadio Mané longtemps bousculée par Olivier Verdon, le coach Cissé a dû penser au scénario de Maroc-Bénin qui a été fatal aux Lions de l’Atlas.	mafand	Senegalese News (MAFAND)
wo-ar-0556	Bul soppeeku Saajo mukk!	لا تتغير أبدا يا ساديو!	La chance de le prouver!Reste-toi Sadio !Tu es un lion !Un Africain authentique.	mafand	Senegalese News (MAFAND)
wo-ar-1108	Ni ñu ko waxee ci suñu mbind mu mujj mi, takk-der yi dañu xam bu baax mbégtey askan wi ba seenug bëgg nguur tax ñu taqalikoo ak njiitu réew ma, gunge ko ba mu dem.	كما قلنا في مقالنا الأخير، فقد فهمت الشرطة جيدا فرحة الشعب لدرجة أن حبهم للحكومة دفعهم للانفصال عن الرئيس، ومرافقته حتى رحيله.	Comme on le disait dans notre dernier post, les mutins ont tellement bien compris ce délire populaire que, dans un élan d’opportunisme et d’aubaine inattendue, ils se sont débarrassés intelligemment du président en le poussant à une démission militairement assistée.	mafand	Senegalese News (MAFAND)
wo-ar-0699	Njiit yi war nañoo gën a fexe ba yokk man-manu askan wi ci wàllu xarala yu yees yi ngir ñu bokk ci ñiy dooleel yokkute ci wàllu koom guy doxe ci xarala yu yees yi te muy nekk lu sax dàkk te boole ñépp.	يجب على الحكومات بذل الجهود لتحسين المهارات الرقمية للمواطنين حتى يتمكنوا من تعزيز النمو في اقتصاد رقمي مستدام وشامل.	Parallèlement, les gouvernements se doivent d’améliorer les compétences numériques des citoyens et leur permettre ainsi de prendre pleinement part à l’éclosion d’une économie digitale qui soit à la fois durable et inclusive.,	mafand	Senegalese News (MAFAND)
wo-ar-0546	Ab tàkk-der lañu yónni woon kese ngir mu nanguji këyit yi ñuy bindoo ngir jàppale sa farandoo ca Sigicoor.	تم تكليف ضابط شرطة خصيصا بمصادرة استمارات الرعاية في زيغينشور.	Un policier a été spécialement missionné pour confisquer les fiches de parrainage à Ziguinchor.	mafand	Senegalese News (MAFAND)
wo-ar-1234	Musaa ak Ibraayima Ba, cosaanoo Welingara dañu fàqee woon ca seen daara ja nekk Kawlag ngir ñibbi seen kër.	هرب موسى وإبراهيم با اللذان ينحدران من وِلِانغَارَا من كُتابهما في كاولاك ليعودا إلى ديارهما.	Originaires de Vélingara, Moussa et Ibrahima Bâ avaient fugué de leur daara sis à Kaolack pour retourner à leur domicile familial.	mafand	Senegalese News (MAFAND)
wo-ar-0230	Loolu, ci jëmmal yoonu yokkuteb Senegaal, ci fexe ba dem ak dikk ci gox yi gën a yéwén ak ci fexe ba yamale askan wi ci seen wàllu dundin.	وذلك في إطار تنفيذ خطة السنغال الناشئة، في محاولة جعل الذهاب والإياب بين الأقاليم أيسر، وفي محاولة تقليص الفوارق الاجتماعية.	Ce, dans le cadre de l'exécution du plan Sénégal Émergent, du désenclavement des régions et la réduction des inégalités sociales pour le bien-être des populations.	mafand	Senegalese News (MAFAND)
wo-ar-0337	Nañu nangu te xam ne mënatuñoo amal ndawalin wu set wecc fii ci diwaanu Afirig.	لنعترف ونَعْرف أنه لم يعد من الممكن ممارسة القيادة الرشيدة في القارة الأفريقية.	Nous devons nous rendre à l’évidence qu’il n’est plus possible en Afrique de faire du pilotage à vue.	mafand	Senegalese News (MAFAND)
wo-ar-0901	Mawdo, ni ko baayam daan woowe, gaawtu na ci mile at mos njàngum koom-koom.	سارع مودو، كما كان يناديه والده، هذه السنة إلى تذوق دراسة الاقتصاد.	Maodo, comme l’appelait son père, profita de cette année pour embrasser des études économiques.	mafand	Senegalese News (MAFAND)
wo-ar-0702	mu yee ma ci mbir yu bari, rawatina li jëm ci làmmiñi réew mi ak sunuy aadaak cosaan.	ونبهني إلى أشياء كثيرة خاصة عن لغات البلاد وعاداتنا وأصولنا.	Quand j'ai lu ses livres, j'ai beaucoup réfléchi, ça m'a fait prendre conscience de beaucoup de choses, surtout ce qui touche notre langue nationale ainsi que notre culture et nos valeurs.	mafand	Senegalese News (MAFAND)
wo-ar-0322	Loolu la jëwrin ji yore wàllu koom gi fësal.	وهذا ما كشفه وزير المالية.	Il est destiné à l’accélération de la création d’emploi des jeunes, à travers notamment la promotion des technologies, l’amélioration de la productivité, la promotion des exportations, lesquels, constituent des axes forts qui permettront d’atteindre les objectifs que nous nous sommes fixés, a indiqué le ministre des Finances.	mafand	Senegalese News (MAFAND)
wo-ar-1194	ndaxte ginnaaw ñaari at ak genn wàll yu may ay ndam, dama yégoon ne ekib bi soxla woon na leneen ngir nekk ci kow te des fa.	لأنه بعد عامين ونصف من الانتصارات، شعرت أن الفريق بحاجة إلى شيء آخر للبقاء في القمة.	En mai 2018, je suis parti car après deux ans et demi avec tant de victoires et tant de trophées, j’ai senti que l’équipe avait besoin d’un nouveau discours pour rester au top.	mafand	Senegalese News (MAFAND)
wo-ar-1146	Xalaat nañu ci mbir mi ak ci njàngum bataaxalu sàmmkat yi.	لقد فكروا في الأمر وفي قراءة رسالة الرعاة.	Elles ont réfléchi sur la question et sur la relecture de la lettre pastorale.	mafand	Senegalese News (MAFAND)
wo-ar-0948	Ndamu maye deret ji, moo bees ba léegi ci xeli waa Senegaal yi.	لا يزال نجاح التبرع بالدم حاضرا في أذهان السنغاليين.		MasakhaNER	Senegalese News (MasakhaNER)
wo-ar-0880	Yokk liggéeykati kaaraange gi ci biir dëkkuwaayu ndongo yi, sasoo wàñni lim bu ëpp bi nekk ci néeg yi ak seen dàkkantal wu siiw woowu di clandotage :	تعزيز عناصر الأمن في الحرم الجامعي، والأخذ بزمام المبادرة في التقليل من عدد المتجاوز الحد في الغرف ولقبهم الشهير clandototage.	Exiger le passage au thermoflash devant les amphithéâtres et les salles de T. D;Renforcer le service de sécurité dans les campus sociaux chargé de limiter le surpeuplement dans les chambres avec le fameux système de clandotage;Mettre l’accent sur l’information et la sensibilisation par le biais des affiches, flyers, panneaux publicitaires à propos des mesures barrières;Revoir le découpage du calendrier universitaire pour le reste de l’année et adapter le quantum horaire aux réalités de la pandémie;Penser à un programme minimal en mettant l’accent sur les chapitres essentiels majeurs selon le quantum horaire à couvrir, comme c’est le cas avec les classes de Terminales dans le cycle secondaire;Combiner le présentiel avec l’enseignement à distance: privilégier les enseignements à distance pour les cours magistraux et maintenir les TD et TP en présentiel;Multiplier les groupes de TD et de TP pour éviter les classes pléthoriques, surtout au niveau des L1, L2 et L3, dans les établissements où les infrastructures pédagogiques le permettent.	mafand	Senegalese News (MAFAND)
wo-ar-1055	Ndaxte, am na ñu fi jiitu, gën ñoo jàmbaare, gën ñoo xam, gën ñoo mën te raw ñu ci fànn yu baree bare te amuñu li ñu am.	لـأن هناك أناسا قبلنا، وكانوا أكثر منا اجتهادا، وأعلم منا، وأقوى منا، وكانوا أكثر منا تقدما في كثير من العلوم، ولم ينالوا ما نلنا.	Ndaxte, am na ñu fi jiitu, gën noo jàmbaare, gën noo xam, gënnoo mën te raw nu ci fànn yu baree bare te amuñu li nu am.	mafand	Senegalese News (MAFAND)
wo-ar-0331	Ci atum 1789, ginnaaw bi askanu Farãas amalee ak fippu, jeexal nguuru buur yi, wax nañu ci fukk ak juroomeelu ponk ci Tënku àq ak yélleefu doom-aadama yi ne ñépp am nañu sañ-sañu gisal seen bopp, wala sax ñi leen teewal, yittey indi seen xam-xam wala mën-mën ci liy doxal léppi-ñépp ci ni mu leen soobee ak ci waxtu wu mu leen neexee.	في عام 1789، في أعقاب الثورة الفرنسية التي أنهت النظام الملكي، أعلنوا في المادة الخامسة عشرة من حقوق الإنسان والمواطن أن جميع المواطنين لهم الحق في أن يراقبوا بأنفسهم أو من خلال ممثليهم؛ ولهم الحق في المساهمة بمعارفهم أو قدراتهم التي تساهم في المصلحة العامة كيفما يريدون وووقتما يريدون.	En 1789, le peuple français à la suite de la Révolution, mettant fin au régime monarchique, déclara solennellement à l’article 15 de la Déclaration des droits de l’homme et du citoyen que tous les citoyens ont le droit de constater, par eux-mêmes ou par leurs représentants, la nécessité de la contribution publique, de la consentir librement d’en suivre l’emploi, d’en déterminer la quotité, l’assiette, le recouvrement et la durée.	mafand	Senegalese News (MAFAND)
wo-ar-0885	Gënal njàngale mu soree mi, ngir dàrsu yi ëmb lépp, te bàyyi njàngum jiite (TD) meek jëfe (TP) ciy teewaay.	إعطاء الأولوية للتعلم عن بُعد، لمحاضرات شاملة وإلغاء الدروس التوجيهية (TD) والتطبيقية (TP) حضوريا.	Exiger le passage au thermoflash devant les amphithéâtres et les salles de T. D;Renforcer le service de sécurité dans les campus sociaux chargé de limiter le surpeuplement dans les chambres avec le fameux système de clandotage;Mettre l’accent sur l’information et la sensibilisation par le biais des affiches, flyers, panneaux publicitaires à propos des mesures barrières;Revoir le découpage du calendrier universitaire pour le reste de l’année et adapter le quantum horaire aux réalités de la pandémie;Penser à un programme minimal en mettant l’accent sur les chapitres essentiels majeurs selon le quantum horaire à couvrir, comme c’est le cas avec les classes de Terminales dans le cycle secondaire;Combiner le présentiel avec l’enseignement à distance: privilégier les enseignements à distance pour les cours magistraux et maintenir les TD et TP en présentiel;Multiplier les groupes de TD et de TP pour éviter les classes pléthoriques, surtout au niveau des L1, L2 et L3, dans les établissements où les infrastructures pédagogiques le permettent.	mafand	Senegalese News (MAFAND)
wo-ar-0666	Waa Atletikoo Madirit ñoo daan benn bal waaye loolu mën a leen a téyendi ca bopp ba.	فاز أتلتيكو مدريد بهدف واحد لكنه كان كافيا لإبقائه في الصدارة مؤقتا.	Les Colcheneros de l’Atletico de Madrid s’imposent sur la plus petite des marques mais suffisant pour sauver la tête de El Cholo, du moins pour le moment.	mafand	Senegalese News (MAFAND)
wo-ar-0283	Lan la Mãasuur Fay def ba mën a nekk njiitu njëwriñ joo xam ne am na ci gafag réew mi lu tollook ñaari téeméeri milyaar ak juróom-fukk ak ñett yu toftal juróomi-téeméeri miliyoŋ ak juróom-ñeent fukk ak téeméeri junni ak ñeen-fukk ak juróom-ñett-fukk ak téeméer bu mànke ñetti fiftin.	ماذا عمل منصور فَيْ حتى يستطيع أن يكون وزيرا لديه في الدولة مائتان وثلاثة وخمسون تريليونا وخمسمائة وتسعون مليارا وسبعمائة وخمسة ملايين وسبعمائة وخمسة آلاف وأربعمائة وسبعة وتسعون.	Quel est le mérite de Mansour FAYE pour occuper un Ministère qui gère 253 590 705 497 FCFA du budget national, si ce n’est le fait d’être le beau-frère du président de la République.	mafand	Senegalese News (MAFAND)
wo-ar-0780	dafa ñor, day njuuj-njaaj, day nëbbu, topp ci di la ko wax ak a waxaat.	فهو ناضج، ويخدع، ويخفى، ثم يقوله لك مرارا واتكرار.	Dañ nu doon faral di waxkàddu gii: mooytuleen contribuable bi (ki war a fey lempo) ; dafa ñor, day njuuj-njaaj, day nëbbutoppdi la ko waxak a waxaat.	mafand	Senegalese News (MAFAND)
wo-ar-0590	Boo weesoo sax seen bariwaay, way-pólótig yi dañoo war di wax wax ju toppe.	بغض النظر عن كثرتهم، يجب على السياسيين أن يقولوا أقوالا متماسكة.	Au-delà de l’adversité, les acteurs politiques doivent pouvoir imprimer une certaine cohérence dans leur argumentaire.	mafand	Senegalese News (MAFAND)
wo-ar-0288	Yenn njiiti Afirig yi te Maki Sàll gën cee fës, ñu ngi ñaan ñu baal leen bor yi ñu ameel yenn réew yi.	يطالب بعض الرؤساء الأفارقة، وأبرزهم ماكي سال، بإعفائهم من الديون التي يجب سدادها لبعض الدول.	–Yenn njiiti Afrig yi te Maki Sàll gën cee fës ñu ngi ñaan ñu baal leen bor yi ñu ameel yenn réew yi.	mafand	Senegalese News (MAFAND)
wo-ar-0754	Waa Liverpool jël nañu seen juróom-benneelu Ligg dee sàmpiyoŋ.	فاز ليفربول بدوري أبطال أوروبا للمرة السادسة.	Le Liverpool FC remporte la sixième Ligue des des Champions de l’UEFA (ou Coupe des Clubs Champions européens) de son histoire.	mafand	Senegalese News (MAFAND)
wo-ar-0999	Li réewi Afirig yi noppeegul a booloo, warul tax ñu nekk ci diggante tànn benn xaalis ak gëmm seeni bët tànn lu mel ni euro.	لا ينبغي أن تكون البلدان الأفريقية غير المستعدة بعد للوحدة سببا لتبني عملة ما أو اختيار اليورو بشكل أعمى.	Le fait que les pays africains ne soient pas encore prêts pour l’unité politique ne les condamne pas pour autant à choisir entre le statu quo monétaire et l’adoption d’une grossière copie de l’euro.	mafand	Senegalese News (MAFAND)
wo-ar-0786	Ngir mën a egsi ci lolu Maam Mbay yaakaar na ne fokk ñu am tëggin yu yees ci suñu wàllu askan.	ولتحقيق ذلك، يعتقد مام امباي أنه يجب أن يكون لدينا إصلاحات اجتماعية جديدة.	Pour y arriver Mame MBAYE demeure convaincu que la réalisation effective du projet de société, à l’image du président Ousmane SONKO, passe par la haute conscience de la défense des principes dans la vérité et sans compromission aucune.	mafand	Senegalese News (MAFAND)
wo-ar-0054	Fan la fitna gi féete ci jëmm ji wala ci kàddug Njiit li Usmaan Sonko ci sa gis-gis ?	أين العنف في سلوك أو خطاب الرئيس عثمان سونكو حسب رأيك ؟	Où se trouve la violence dans le comportement ou le discours du Président Ousmane SONKO selon vous?	mafand	Senegalese News (MAFAND)
wo-ar-0839	Ci boobu, la soppeey Liverpool yu am gannaaw yi ñaax leen.	منذ ذلك الحين، كان مشجعوا ليفربول المذهلون يهتفون لهم.	Dès lors, Liverpool était poussé par son incroyable public, et malgré son expérience, les Barcelonais craquaient comme des poussins.	mafand	Senegalese News (MAFAND)
wo-ar-1068	Xaalis bi ci taxawaay lañu ko fay xobbet xobbet, ci ab biro (bu yéenekaay bi nangul a fésal) waaye nekkul ci kayitu payooru deppite yi.	تم دفع الأموال نقدا في الحال في أحد المكاتب (التي تمنع الصحيفة من الكشف عن اسمه) لكنها لم تسجل في كشوف رواتب النواب.	L'argent est non seulement payé sur place en espèces dans un bureau (tenu secret par le journal), mais ne figure pas sur le bulletin de salaire des députés.	mafand	Senegalese News (MAFAND)
wo-ar-0621	Moom dee, nee na coppite yi yëngal nit ñi, yi ci ëpp dañuy delloo ginnaaw, di xeex demokaraasi te mënul a jàll,	وقال هو إن هذه الإصلاحات التي تحرك الناس أغلبها إصلاحات متخلفة، ومعادية للديمقراطية، ولن تنجح،	Selon lui, cette réforme qu’agite la majorité est rétrograde, antidémocratique et inopérante et qu’il y a nécessité pour tous des démocrates de se dresser contre.	mafand	Senegalese News (MAFAND)
wo-ar-0316	Xanaa ku jinne jàpp xelam rekk moo dul seetlu ne yeneen njëgi Orange yi dañuy wujjeek Tigo mi nga xam ne dafa soppi turam ba noppi yombal ay njëgam lool.	يجب أن يكون ممسوسا بالجن حتى لا يرى أن عروض أورانج الجديدة تنافس تيغو التي أعادت تسمية علامتها التجارية وسهلت عروضها.	Il faut avoir l’intelligence souillée par le diable pour ne pas voir derrière ce lancement des nouvelles offres de l'opérateur Orange une contre-attaque de ce dernier, après la campagne intense de rebranding qui a fait changer de nom Tigo avec une offre commerciale très agressive.	mafand	Senegalese News (MAFAND)
wo-ar-1017	Su nguur googule jëlee dogalu yokk lempo yi (li këri liggéeyukaay yi di am), loolu dafay wàññi soxla yi (borom kër yi duñu am xaalis bu doy).	إذا قررت الحكومة رفع الضرائب (على دخل الشركات)، فسيؤدي ذلك إلى خفض الطلب (لن يكون لدى الأسر يكفي من المال).	Si ce même gouvernement décide au contraire d’augmenter les impôts (revenus et entreprises), cela servira par exemple à ralentir la demande (les ménages n’auront suffisamment de revenus) et les coûts de production vont intégrer cette augmentation des charges fiscales pour les entreprises.	mafand	Senegalese News (MAFAND)
wo-ar-0184	Bi ma léen di taxawu, gis naa ay waxambaane yoo xam ne ba ñuy ndaw lanu leen yar.	في الفترة التي أدعمهم، رأيت شبابا تم تربيتهم منذ طفولتهم المبكرة.	Au cours de mon accompagnement, j’ai vu des jeunes qui ont bénéficié d’une bonne éducation depuis leur tendre enfance, puis au fil du temps, ils ont intégré des groupes qui ont eu un impact majeur sur leur vécu quotidien.	mafand	Senegalese News (MAFAND)
wo-ar-0052	Yokk ci laaju këru doktoor gi, jëwrin ji yor mbiri biir réew mi yëgle na toppug nguur gi ci bépp liggéey bu jëm ci Tiwaawan, maanaam luy jëm ci set-setal ak yokk ndox mi.	بالإضافة إلى قضية المستشفى، أعلن وزير الداخلية عن مراقبة الحكومة لجميع الأعمال التي ستتم في تيواون، ولا سيما فيما يتعلق بالصرف الصحي وإمدادات المياه.	Outre la question de l’hôpital, le ministre de l’Intérieur a annoncé la poursuite par le gouvernement de tous les travaux engagés à Tivaouane, notamment en matière d’assainissement et d’adduction d’eau.	mafand	Senegalese News (MAFAND)
wo-ar-0510	Tay jii, yégg-yégg bi ñu am moo tax mënuñu róññale ñi jóge Ndar ak waa Ndakaaru, Tambaa, wala Fatig ak waa Kaasamaas ak waa Bawol ak waa Jolof.	الشعور الذي ينتابنا اليوم هو السبب في أننا لا نستطيع التمييز بين أولئك الذين يأتون من سانت لويس أو ساكني داكار، وتامبا، أو فاتيك وساكني كازامانس أو باول أو جولوف.	Aujourd’hui, le ressenti qui nous habite est qu’on ne distingue pas ceux qui viennent de Saint-Louis des Dakarois et tambacoundois, ni les fatickois des casamançais et des habitants du Baol et du Djolof.	mafand	Senegalese News (MAFAND)
wo-ar-1271	Fileek digaaleb Senac SA ak Nguuru Senegaal di jeex, Nguur gi dina defar ñetti téeméeri kilomet ci otorut ak xaalisu boppam.	وبحلول نهاية شراكة Senac SA والحكومة السنغالية، ستكون الدولة قد شيدت 300 كيلومتر من الطريق السريع بأموالها الخاصة.	Et d’ici la fin de la concession de Senac SA, l’État aura réalisé 300 km d’autoroute sur fond propre.	mafand	Senegalese News (MAFAND)
wo-ar-0928	Njuréef lu mujj li ñaari bal ci benn,	النتيجة النهائية هي هدفان مقابل هدف،	Score final 2 buts à 1 et Messi devient le seul joueur à avoir inscrit au moins 1 but lors des 15 dernières ligues de champions.	mafand	Senegalese News (MAFAND)
wo-ar-0767	Ci li Joseh Ki-Zerbo wax, neenal bor bi, nekkul saafara suy sax dàkk ndax ba tay li koy jur jógu fi.	ووفقا لجوزيف كي زيربو، فإن إلغاء الدين ليس حلا طويل المدى لأن أسبابه لا تزال قائمة.	Selon Joseph Ki-Zerbo, l’annulation de la dette n’est pas viable à long terme car on ne s’attaque pas à la cause, au système.	mafand	Senegalese News (MAFAND)
wo-ar-1167	Liggéey bi nguur gi yorewul dafay rëcc ci fay lempo te loolu bokk na ci liy wàññi xemmemteefu koom gi.	يفلت العمل الذي لا تسيطر عليه الحكومة من دفع الضرائب، وهو مما يقلل من جاذبية الاقتصاد.	Le secteur informel échappe totalement au fisc et réduit ainsi l’attractivité de notre économie.	mafand	Senegalese News (MAFAND)
wo-ar-0788	Ci noonu la nas bi amee benn pàcc bu ñu jagleel ab xeetu mbay bu mucc-ayib boo xam ne dafa yomb a jëmmal te saytu ko tamit seerul lool.	وبالتالي، فإن المشروع يتضمن مكونا خاصا لنوع خاص من الزراعة لا تشوبه شائبة يسهل تنفيذه وصيانته غير مكلف جدا.	C’est ainsi que le programme comporte également une ambitieuse composante apiculture très facile à mettre en œuvre avec peu de barrières à l’entrée et un faible coût de maintenance.	mafand	Senegalese News (MAFAND)
wo-ar-0393	Noppalu leen léegi, teg ngeen jeego yi njëkk ; bàyyileen xale yi ñu def li des.	يمكنكم أن ترتاحوا الآن بعد أن قمتم بتحديد المعالم، دعوا الشباب يقومون بالباقي.	Reposez-vous maintenant vous avez posé les Jalons; laissez les enfants faire le reste.	mafand	Senegalese News (MAFAND)
wo-ar-0142	Senegaal dina daje ëllëg ak réewum Kolombi, te Tahiti war na siggil réew miy dalal.	سيواجه السنغال كولومبيا يوم غد، بينما سيتعين على تاهيتي رفع رأسه أمام أصحاب الأرض.	Le Sénégal a rendez-vous dimanche contre la Colombie, tandis que Tahiti devra relever la tête face au pays hôte.	mafand	Senegalese News (MAFAND)
